games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Vancouver 2010,0.0,Germany,10,13,7,30,Vancouver ,2010,Canada,Germany,81655.0,41109.58,Canada,0
London 2012,1.0,Germany,11,20,13,44,London ,2012,United Kingdom,Germany,81635.0,43320.0,United Kingdom,0
Sochi 2014,0.0,Germany,8,6,5,19,Sochi ,2014,Russia,Germany,82200.0,43922.0,Russian Federation,0
Rio 2016,1.0,Germany,17,10,15,42,Rio ,2016,Brazil,Germany,83587.0,44689.0,Brazil,0
PyeongChang 2018,0.0,Germany,14,10,7,31,PyeongChang ,2018,South Korea,Germany,84152.0,46177.62,Republic of Korea,0
Tokyo 2020,1.0,Germany,10,11,16,37,Tokyo ,2020,Japan,Germany,,,Japan,0
Athens 1896,1.0,France,5,4,2,11,Athens ,1896,Greece,France,40192.0,4280.0,Greece,0
London 1908,1.0,France,5,5,9,19,London ,1908,United Kingdom,France,41046.0,4854.0,United Kingdom,0
Stockholm 1912,1.0,France,7,5,3,15,Stockholm ,1912,Sweden,France,41359.0,5601.0,Sweden,0
Antwerp 1920,1.0,France,9,20,13,42,Antwerp ,1920,Belgium,France,39000.0,5144.0,Belgium,0
Paris 1924,1.0,France,14,15,12,41,Paris ,1924,France,France,40310.0,6661.0,France,1
Chamonix 1924,0.0,France,0,0,3,3,Chamonix ,1924,France,France,40310.0,6661.0,France,1
Amsterdam 1928,1.0,France,7,12,6,25,Amsterdam ,1928,Netherlands,France,41050.0,7063.0,Netherlands,0
St. Moritz 1928,0.0,France,1,0,0,1,St. Moritz ,1928,Switzerland,France,41050.0,7063.0,Switzerland,0
Lake Placid 1932,0.0,France,1,0,0,1,Lake Placid ,1932,United States,France,41860.0,6311.0,United States,0
Los Angeles 1932,1.0,France,11,5,4,20,Los Angeles ,1932,United States,France,41860.0,6311.0,United States,0
Garmisch-Partenkirchen 1936,0.0,France,0,0,1,1,Garmisch-Partenkirchen ,1936,Germany,France,41910.0,6765.0,Germany,0
Berlin 1936,1.0,France,7,6,6,19,Berlin ,1936,Germany,France,41910.0,6765.0,Germany,0
St. Moritz 1948,0.0,France,2,1,2,5,St. Moritz ,1948,Switzerland,France,41110.0,7002.0,Switzerland,0
London 1948,1.0,France,11,6,15,32,London ,1948,United Kingdom,France,41110.0,7002.0,United Kingdom,0
Helsinki 1952,1.0,France,6,6,6,18,Helsinki ,1952,Finland,France,43184.0,8869.0,Finland,0
Oslo 1952,0.0,France,0,0,1,1,Oslo ,1952,Norway,France,43184.0,8869.0,Norway,0
Melbourne 1956,1.0,France,4,4,6,14,Melbourne ,1956,Australia,France,44657.0,10278.0,Australia,0
Squaw Valley 1960,0.0,France,1,0,2,3,Squaw Valley ,1960,United States,France,46584.0,11792.0,United States,0
Rome 1960,1.0,France,0,2,3,5,Rome ,1960,Italy,France,46584.0,11792.0,Italy,0
Innsbruck 1964,0.0,France,3,4,0,7,Innsbruck ,1964,Austria,France,49357.0,14057.0,Austria,0
Tokyo 1964,1.0,France,1,8,6,15,Tokyo ,1964,Japan,France,49357.0,14057.0,Japan,0
Mexico City 1968,1.0,France,7,3,5,15,Mexico City ,1968,Mexico,France,51034.0,16365.0,Mexico,0
Grenoble 1968,0.0,France,4,3,2,9,Grenoble ,1968,France,France,51034.0,16365.0,France,1
Sapporo 1972,0.0,France,0,1,2,3,Sapporo ,1972,Japan,France,52894.0,19549.0,Japan,0
Munich 1972,1.0,France,2,4,7,13,Munich ,1972,Germany,France,52894.0,19549.0,Germany,0
Montreal 1976,1.0,France,2,3,4,9,Montreal ,1976,Canada,France,54159.0,21465.0,Canada,0
Innsbruck 1976,0.0,France,0,0,1,1,Innsbruck ,1976,Austria,France,54159.0,21465.0,Austria,0
Moscow 1980,1.0,France,6,5,3,14,Moscow ,1980,Russia,France,55110.0,23537.0,Russian Federation,0
Lake Placid 1980,0.0,France,0,0,1,1,Lake Placid ,1980,United States,France,55110.0,23537.0,United States,0
Sarajevo 1984,0.0,France,0,1,2,3,Sarajevo ,1984,Bosnia and Herzegovina,France,56246.0,24519.0,Former Yugoslavia,0
Los Angeles 1984,1.0,France,5,7,16,28,Los Angeles ,1984,United States,France,56246.0,24519.0,United States,0
Seoul 1988,1.0,France,6,4,6,16,Seoul ,1988,South Korea,France,57255.0,26763.0,Republic of Korea,0
Calgary 1988,0.0,France,1,0,1,2,Calgary ,1988,Canada,France,57255.0,26763.0,Canada,0
Albertville 1992,0.0,France,3,5,1,9,Albertville ,1992,France,France,58801.0,28619.8,France,1
Barcelona 1992,1.0,France,8,5,16,29,Barcelona ,1992,Spain,France,58801.0,28619.8,Spain,0
Lillehammer 1994,0.0,France,0,1,4,5,Lillehammer ,1994,Norway,France,59265.0,28907.98,Norway,0
Atlanta 1996,1.0,France,15,7,15,37,Atlanta ,1996,United States,France,59680.0,29736.64,United States,0
Nagano 1998,0.0,France,2,1,5,8,Nagano ,1998,Japan,France,60103.0,31323.08,Japan,0
Sydney 2000,1.0,France,13,14,11,38,Sydney ,2000,Australia,France,60819.0,33409.68,Australia,0
Salt Lake City 2002,0.0,France,4,5,2,11,Salt Lake City ,2002,United States,France,61702.0,34152.77,United States,0
Athens 2004,1.0,France,11,9,13,33,Athens ,2004,Greece,France,62591.0,35093.82,Greece,0
Beijing 2008,1.0,France,7,16,20,43,Beijing ,2008,China,France,64239.0,36761.79,China,0
Vancouver 2010,0.0,France,2,3,6,11,Vancouver ,2010,Canada,France,64880.0,36086.73,Canada,0
London 2012,1.0,France,11,11,13,35,London ,2012,United Kingdom,France,65500.0,36571.0,United Kingdom,0
Sochi 2014,0.0,France,4,4,7,15,Sochi ,2014,Russia,France,66374.0,36527.0,Russian Federation,0
Rio 2016,1.0,France,10,18,14,42,Rio ,2016,Brazil,France,66787.0,37124.0,Brazil,0
PyeongChang 2018,0.0,France,5,4,6,15,PyeongChang ,2018,South Korea,France,67029.0,38515.92,Republic of Korea,0
Tokyo 2020,1.0,France,10,12,11,33,Tokyo ,2020,Japan,France,,,Japan,0
Athens 1896,1.0,Great Britain,2,3,2,7,Athens ,1896,Greece,United Kingdom,39599.0,7211.0,Greece,0
London 1908,1.0,Great Britain,56,51,39,146,London ,1908,United Kingdom,United Kingdom,44124.0,7461.0,United Kingdom,1
Stockholm 1912,1.0,Great Britain,10,15,16,41,Stockholm ,1912,Sweden,United Kingdom,45426.0,7954.0,Sweden,0
Antwerp 1920,1.0,Great Britain,14,16,13,43,Antwerp ,1920,Belgium,United Kingdom,46821.0,7017.0,Belgium,0
Paris 1924,1.0,Great Britain,9,14,12,35,Paris ,1924,France,United Kingdom,44915.0,7844.0,France,0
Chamonix 1924,0.0,Great Britain,1,1,2,4,Chamonix ,1924,France,United Kingdom,44915.0,7844.0,France,0
Amsterdam 1928,1.0,Great Britain,4,11,7,22,Amsterdam ,1928,Netherlands,United Kingdom,45578.0,8539.0,Netherlands,0
St. Moritz 1928,0.0,Great Britain,0,0,1,1,St. Moritz ,1928,Switzerland,United Kingdom,45578.0,8539.0,Switzerland,0
Los Angeles 1932,1.0,Great Britain,5,7,5,17,Los Angeles ,1932,United States,United Kingdom,46335.0,8206.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Great Britain,1,1,1,3,Garmisch-Partenkirchen ,1936,Germany,United Kingdom,47081.0,9620.0,Germany,0
Berlin 1936,1.0,Great Britain,4,7,3,14,Berlin ,1936,Germany,United Kingdom,47081.0,9620.0,Germany,0
St. Moritz 1948,0.0,Great Britain,0,0,2,2,St. Moritz ,1948,Switzerland,United Kingdom,50014.0,10753.0,Switzerland,0
London 1948,1.0,Great Britain,4,16,7,27,London ,1948,United Kingdom,United Kingdom,50014.0,10753.0,United Kingdom,1
Helsinki 1952,1.0,Great Britain,1,2,8,11,Helsinki ,1952,Finland,United Kingdom,50430.0,11303.0,Finland,0
Oslo 1952,0.0,Great Britain,1,0,0,1,Oslo ,1952,Norway,United Kingdom,50430.0,11303.0,Norway,0
Melbourne 1956,1.0,Great Britain,5,7,9,21,Melbourne ,1956,Australia,United Kingdom,51184.0,12639.0,Australia,0
Rome 1960,1.0,Great Britain,2,6,12,20,Rome ,1960,Italy,United Kingdom,52372.0,13780.0,Italy,0
Innsbruck 1964,0.0,Great Britain,1,0,0,1,Innsbruck ,1964,Austria,United Kingdom,53991.0,15251.0,Austria,0
Tokyo 1964,1.0,Great Britain,4,12,2,18,Tokyo ,1964,Japan,United Kingdom,53991.0,15251.0,Japan,0
Mexico City 1968,1.0,Great Britain,5,5,3,13,Mexico City ,1968,Mexico,United Kingdom,55214.0,16593.0,Mexico,0
Munich 1972,1.0,Great Britain,4,5,9,18,Munich ,1972,Germany,United Kingdom,56079.0,18002.0,Germany,0
Montreal 1976,1.0,Great Britain,3,5,5,13,Montreal ,1976,Canada,United Kingdom,56206.0,19311.0,Canada,0
Innsbruck 1976,0.0,Great Britain,1,0,0,1,Innsbruck ,1976,Austria,United Kingdom,56206.0,19311.0,Austria,0
Moscow 1980,1.0,Great Britain,5,7,9,21,Moscow ,1980,Russia,United Kingdom,56314.0,20612.0,Russian Federation,0
Lake Placid 1980,0.0,Great Britain,1,0,0,1,Lake Placid ,1980,United States,United Kingdom,56314.0,20612.0,United States,0
Sarajevo 1984,0.0,Great Britain,1,0,0,1,Sarajevo ,1984,Bosnia and Herzegovina,United Kingdom,56462.0,21869.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Great Britain,5,11,21,37,Los Angeles ,1984,United States,United Kingdom,56462.0,21869.0,United States,0
Seoul 1988,1.0,Great Britain,5,10,9,24,Seoul ,1988,South Korea,United Kingdom,57160.0,25679.0,Republic of Korea,0
Barcelona 1992,1.0,Great Britain,5,3,12,20,Barcelona ,1992,Spain,United Kingdom,57828.0,25790.18,Spain,0
Lillehammer 1994,0.0,Great Britain,0,0,2,2,Lillehammer ,1994,Norway,United Kingdom,58114.0,27277.54,Norway,0
Atlanta 1996,1.0,Great Britain,1,8,6,15,Atlanta ,1996,United States,United Kingdom,58417.0,28472.25,United States,0
Nagano 1998,0.0,Great Britain,0,0,1,1,Nagano ,1998,Japan,United Kingdom,58738.0,30077.38,Japan,0
Sydney 2000,1.0,Great Britain,11,10,7,28,Sydney ,2000,Australia,United Kingdom,59145.0,31946.04,Australia,0
Salt Lake City 2002,0.0,Great Britain,1,0,1,2,Salt Lake City ,2002,United States,United Kingdom,59625.0,33271.3,United States,0
Athens 2004,1.0,Great Britain,9,9,12,30,Athens ,2004,Greece,United Kingdom,60245.0,34865.78,Greece,0
Beijing 2008,1.0,Great Britain,19,13,19,51,Beijing ,2008,China,United Kingdom,62072.0,36264.79,China,0
Vancouver 2010,0.0,Great Britain,1,0,0,1,Vancouver ,2010,Canada,United Kingdom,63036.0,34754.47,Canada,0
London 2012,1.0,Great Britain,29,17,19,65,London ,2012,United Kingdom,United Kingdom,63974.0,35185.0,United Kingdom,1
Sochi 2014,0.0,Great Britain,1,1,3,5,Sochi ,2014,Russia,United Kingdom,64880.0,36436.0,Russian Federation,0
Rio 2016,1.0,Great Britain,27,23,17,67,Rio ,2016,Brazil,United Kingdom,65893.0,37334.0,Brazil,0
PyeongChang 2018,0.0,Great Britain,1,0,4,5,PyeongChang ,2018,South Korea,United Kingdom,66746.0,38058.09,Republic of Korea,0
Tokyo 2020,1.0,Great Britain,22,21,22,65,Tokyo ,2020,Japan,United Kingdom,,,Japan,0
Athens 1896,1.0,Hungary,2,1,3,6,Athens ,1896,Greece,Hungary,6925.0,2547.8,Greece,0
London 1908,1.0,Hungary,3,4,2,9,London ,1908,United Kingdom,Hungary,7540.6,3086.6,United Kingdom,0
Stockholm 1912,1.0,Hungary,3,2,3,8,Stockholm ,1912,Sweden,Hungary,7774.666666666667,3292.0,Sweden,0
Paris 1924,1.0,Hungary,2,4,4,10,Paris ,1924,France,Hungary,8232.0,3048.0,France,0
Amsterdam 1928,1.0,Hungary,5,5,0,10,Amsterdam ,1928,Netherlands,Hungary,8520.0,3849.0,Netherlands,0
Lake Placid 1932,0.0,Hungary,0,0,1,1,Lake Placid ,1932,United States,Hungary,8785.0,3494.0,United States,0
Los Angeles 1932,1.0,Hungary,6,5,5,16,Los Angeles ,1932,United States,Hungary,8785.0,3494.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Hungary,0,0,1,1,Garmisch-Partenkirchen ,1936,Germany,Hungary,9046.0,4173.0,Germany,0
Berlin 1936,1.0,Hungary,10,1,5,16,Berlin ,1936,Germany,Hungary,9046.0,4173.0,Germany,0
St. Moritz 1948,0.0,Hungary,0,1,0,1,St. Moritz ,1948,Switzerland,Hungary,9158.0,3507.0,Switzerland,0
London 1948,1.0,Hungary,10,5,13,28,London ,1948,United Kingdom,Hungary,9158.0,3507.0,United Kingdom,0
Helsinki 1952,1.0,Hungary,16,10,16,42,Helsinki ,1952,Finland,Hungary,9504.0,4403.0,Finland,0
Oslo 1952,0.0,Hungary,0,0,1,1,Oslo ,1952,Norway,Hungary,9504.0,4403.0,Norway,0
Melbourne 1956,1.0,Hungary,9,10,7,26,Melbourne ,1956,Australia,Hungary,9911.0,4632.0,Australia,0
Rome 1960,1.0,Hungary,6,8,7,21,Rome ,1960,Italy,Hungary,9984.0,5816.0,Italy,0
Tokyo 1964,1.0,Hungary,10,7,5,22,Tokyo ,1964,Japan,Hungary,10124.0,6994.0,Japan,0
Mexico City 1968,1.0,Hungary,10,10,12,32,Mexico City ,1968,Mexico,Hungary,10264.0,7865.0,Mexico,0
Munich 1972,1.0,Hungary,6,13,16,35,Munich ,1972,Germany,Hungary,10394.0,8505.0,Germany,0
Montreal 1976,1.0,Hungary,4,5,13,22,Montreal ,1976,Canada,Hungary,10589.0,9231.0,Canada,0
Moscow 1980,1.0,Hungary,7,10,15,32,Moscow ,1980,Russia,Hungary,10711.0,10052.0,Russian Federation,0
Lake Placid 1980,0.0,Hungary,0,1,0,1,Lake Placid ,1980,United States,Hungary,10711.0,10052.0,United States,0
Seoul 1988,1.0,Hungary,11,6,6,23,Seoul ,1988,South Korea,Hungary,10443.0,11207.0,Republic of Korea,0
Barcelona 1992,1.0,Hungary,11,12,7,30,Barcelona ,1992,Spain,Hungary,10367.0,9153.92,Spain,0
Atlanta 1996,1.0,Hungary,7,4,10,21,Atlanta ,1996,United States,Hungary,10309.0,10359.18,United States,0
Sydney 2000,1.0,Hungary,8,6,3,17,Sydney ,2000,Australia,Hungary,10209.0,13129.27,Australia,0
Athens 2004,1.0,Hungary,8,6,3,17,Athens ,2004,Greece,Hungary,10105.0,16999.01,Greece,0
Beijing 2008,1.0,Hungary,3,5,2,10,Beijing ,2008,China,Hungary,10036.0,20380.63,China,0
London 2012,1.0,Hungary,8,4,6,18,London ,2012,United Kingdom,Hungary,9918.0,20631.0,United Kingdom,0
Rio 2016,1.0,Hungary,8,3,4,15,Rio ,2016,Brazil,Hungary,9812.0,23279.0,Brazil,0
PyeongChang 2018,0.0,Hungary,1,0,0,1,PyeongChang ,2018,South Korea,Hungary,9774.0,25622.81,Republic of Korea,0
Tokyo 2020,1.0,Hungary,6,7,7,20,Tokyo ,2020,Japan,Hungary,,,Japan,0
Athens 1896,1.0,Austria,2,1,2,5,Athens ,1896,Greece,Austria,5739.0,4305.0,Greece,0
London 1908,1.0,Austria,0,0,1,1,London ,1908,United Kingdom,Austria,6485.0,5292.0,United Kingdom,0
Stockholm 1912,1.0,Austria,0,2,2,4,Stockholm ,1912,Sweden,Austria,6724.0,5587.0,Sweden,0
Paris 1924,1.0,Austria,0,3,1,4,Paris ,1924,France,Austria,6562.0,5042.0,France,0
Chamonix 1924,0.0,Austria,2,1,0,3,Chamonix ,1924,France,Austria,6562.0,5042.0,France,0
Amsterdam 1928,1.0,Austria,3,0,1,4,Amsterdam ,1928,Netherlands,Austria,6643.0,5829.0,Netherlands,0
St. Moritz 1928,0.0,Austria,0,3,1,4,St. Moritz ,1928,Switzerland,Austria,6643.0,5829.0,Switzerland,0
Lake Placid 1932,0.0,Austria,1,1,0,2,Lake Placid ,1932,United States,Austria,6725.0,4686.0,United States,0
Los Angeles 1932,1.0,Austria,1,1,3,5,Los Angeles ,1932,United States,Austria,6725.0,4686.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Austria,1,1,2,4,Garmisch-Partenkirchen ,1936,Germany,Austria,6758.0,4774.0,Germany,0
Berlin 1936,1.0,Austria,5,7,5,17,Berlin ,1936,Germany,Austria,6758.0,4774.0,Germany,0
St. Moritz 1948,0.0,Austria,1,3,4,8,St. Moritz ,1948,Switzerland,Austria,6956.0,4406.0,Switzerland,0
London 1948,1.0,Austria,2,2,4,8,London ,1948,United Kingdom,Austria,6956.0,4406.0,United Kingdom,0
Helsinki 1952,1.0,Austria,0,1,1,2,Helsinki ,1952,Finland,Austria,6928.0,6323.0,Finland,0
Oslo 1952,0.0,Austria,2,4,2,8,Oslo ,1952,Norway,Austria,6928.0,6323.0,Norway,0
